Name,Connection Type,App,Platform,Country,Date,Impressions,Ad Revenue,CPM
connection 49,Mock Connection - flurry.com,Snake,Firefox OS,Germany,2020-05-01,293,3,12
connection 50,Mock Connection - vungle.com,Tetris,Monte iOS,Denmark,2020-05-01,390,26,67
connection 51,Mock Connection - mopub.com,Tetris,iOS,Germany,2020-05-01,3388,1,0
connection 52,Mock Connection - inmobi.com,Pong,Android,Canada,2020-05-01,5328,40,7
connection 53,Mock Connection - adcolony.com,Pong,Android,United States,2020-05-01,745,8,11
connection 54,Mock Connection - adcolony.com,2.0,Luciano iOS,Canada,2020-05-01,1160,3,2
connection 55,Mock Connection - facebook.com,Snake,iOS,Brazil,2020-05-01,719,2,2
connection 56,Mock Connection - facebook.com,Michael Tetris,Firefox OS,Brazil,2020-05-01,2929,18,6
connection 57,Mock Connection - chartboost.com,Pong,Android,Japan,2020-05-01,2726,11,4
connection 58,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Brazil,2020-05-01,263,3,13
connection 59,Mock Connection - vungle.com,Snake,iOS,Canada,2020-05-01,1687,4,2
connection 60,Mock Connection - vungle.com,Monte Tetris,Android,Denmark,2020-05-01,692,2,3
connection 61,Mock Connection - vungle.com,Pong,iOS,Canada,2020-05-01,308,10,33
connection 62,Mock Connection - vungle.com,Pong,Firefox OS,Japan,2020-05-01,8073,34,4
connection 63,Mock Connection - mopub.com,Pong,Android,Denmark,2020-05-01,3959,28,7
connection 64,Mock Connection - inmobi.com,Tetris,iOS,Denmark,2020-05-01,4310,23,5
connection 65,Mock Connection - inmobi.com,Tetris,Firefox OS,Canada,2020-05-01,1557,8,5
connection 66,Mock Connection - mopub.com,Pong,iOS,Japan,2020-05-01,121,2,16
connection 67,Mock Connection - vungle.com,Snake,Monte iOS,United States,2020-05-01,1473,9,6
connection 68,Mock Connection - inmobi.com,Pong,iOS,Canada,2020-05-01,3038,12,4
connection 69,Mock Connection - flurry.com,Tetris,iOS,United States,2020-05-01,267,14,52
connection 70,Mock Connection - facebook.com,Michael Tetris,Firefox OS,Denmark,2020-05-01,752,6,8
connection 71,Mock Connection - chartboost.com,Snake,iOS,United States,2020-05-01,2367,15,6
connection 72,Mock Connection - vungle.com,Monte Tetris,Android,Germany,2020-05-01,2950,22,7
connection 73,Mock Connection - inmobi.com,Pong,iOS,Japan,2020-05-01,6227,44,7
connection 74,Mock Connection - inmobi.com,Tetris,iOS,Brazil,2020-05-01,1609,17,10
connection 75,Mock Connection - applovin.com,Tetris,Firefox OS,Japan,2020-05-01,659,2,4
connection 76,Mock Connection - adcolony.com,2.0,Luciano iOS,United States,2020-05-01,755,19,25
connection 77,Mock Connection - inmobi.com,Tetris,iOS,United States,2020-05-01,4957,11,2
connection 78,Mock Connection - vungle.com,Tetris,Firefox OS,Germany,2020-05-01,1344,5,3
connection 79,Mock Connection - mopub.com,Tetris,iOS,Brazil,2020-05-01,1666,17,10
connection 80,Mock Connection - inmobi.com,Snake,Firefox OS,Brazil,2020-05-01,4997,35,7
connection 81,Mock Connection - vungle.com,Snake,Android,Denmark,2020-05-01,7614,61,8
connection 82,Mock Connection - inmobi.com,Tetris,Android,United States,2020-05-01,2996,27,9
connection 83,Mock Connection - adcolony.com,Snake,Firefox OS,Canada,2020-05-01,323,0,2
connection 84,Mock Connection - flurry.com,Snake,Firefox OS,Brazil,2020-05-01,1177,7,6
connection 85,Mock Connection - facebook.com,Snake,Firefox OS,Denmark,2020-05-01,1816,8,4
connection 86,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Denmark,2020-05-01,77,0,2
connection 87,Mock Connection - vungle.com,Snake,Firefox OS,Canada,2020-05-01,9305,25,2
connection 88,Mock Connection - chartboost.com,Snake,Firefox OS,Denmark,2020-05-01,1154,18,15
connection 89,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Canada,2020-05-01,308,4,13
connection 90,Mock Connection - chartboost.com,Judy Tetris,Firefox OS,Brazil,2020-05-01,566,0,0
connection 91,Mock Connection - facebook.com,Michael Tetris,Android,Brazil,2020-05-01,1162,14,12
connection 92,Mock Connection - flurry.com,Pong,iOS,Denmark,2020-05-01,3273,24,7
connection 93,Mock Connection - adcolony.com,Pong,Android,Japan,2020-05-01,466,3,8
connection 94,Mock Connection - inmobi.com,Pong,Firefox OS,Denmark,2020-05-01,8385,62,7
connection 95,Mock Connection - adcolony.com,Pong,Firefox OS,Denmark,2020-05-01,2426,0,0
connection 96,Mock Connection - mopub.com,Tetris,Android,Japan,2020-05-01,878,5,5
connection 97,Mock Connection - inmobi.com,Randy,GP,Brazil,2020-05-01,745,14,19
connection 98,Mock Connection - inmobi.com,Tetris,iOS,Germany,2020-05-01,2349,10,4
connection 99,Mock Connection - facebook.com,Pong,iOS,Japan,2020-05-01,2449,7,3
connection 100,Mock Connection - flurry.com,Pong,Android,Brazil,2020-05-01,1175,5,4
connection 101,Mock Connection - chartboost.com,Tetris,iOS,Denmark,2020-05-01,2550,31,12
connection 102,Mock Connection - inmobi.com,Snake,Firefox OS,Denmark,2020-05-01,10693,30,2
connection 103,Mock Connection - chartboost.com,Pong,Firefox OS,Germany,2020-05-01,5761,64,11
connection 104,Mock Connection - vungle.com,Snake,Android,United States,2020-05-01,2331,10,4
connection 105,Mock Connection - inmobi.com,Pong,Firefox OS,Germany,2020-05-01,5091,51,10
connection 106,Mock Connection - flurry.com,Pong,Firefox OS,Canada,2020-05-01,2922,23,8
connection 107,Mock Connection - inmobi.com,Pong,iOS,Germany,2020-05-01,9175,60,6
connection 108,Mock Connection - applovin.com,Snake,Firefox OS,Brazil,2020-05-01,1207,2,1
connection 109,Mock Connection - applovin.com,Tetris,Android,Japan,2020-05-01,5423,28,5
connection 110,Mock Connection - mopub.com,Masako Tetris,Masako iOS,Canada,2020-05-01,2155,3,1
connection 111,Mock Connection - mopub.com,Tetris,Firefox OS,Brazil,2020-05-01,111,4,41
connection 112,Mock Connection - vungle.com,Snake,Android,Germany,2020-05-01,1093,1,1
connection 113,Mock Connection - vungle.com,Tetris,Firefox OS,Japan,2020-05-01,2828,6,2
connection 114,Mock Connection - adcolony.com,Luciano Tetris,Android,Japan,2020-05-01,1307,4,3
connection 115,Mock Connection - inmobi.com,Randy,Android,United States,2020-05-01,918,1,1
connection 116,Mock Connection - vungle.com,Snake,Monte iOS,Japan,2020-05-01,463,2,5
connection 117,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Germany,2020-05-01,2434,19,7
connection 118,Mock Connection - chartboost.com,Snake,iOS,Germany,2020-05-01,1531,10,6
connection 119,Mock Connection - facebook.com,Snake,iOS,United States,2020-05-01,6517,12,1
connection 120,Mock Connection - adcolony.com,Pong,Firefox OS,Canada,2020-05-01,422,3,7
connection 121,Mock Connection - chartboost.com,Pong,iOS,Denmark,2020-05-01,615,8,14
connection 122,Mock Connection - vungle.com,Snake,iOS,United States,2020-05-01,932,31,34
connection 123,Mock Connection - flurry.com,Pong,Android,Japan,2020-05-01,2801,5,2
connection 124,Mock Connection - mopub.com,Tetris,Android,Canada,2020-05-01,1528,5,3
connection 125,Mock Connection - inmobi.com,Pong,Firefox OS,Brazil,2020-05-01,5377,30,5
connection 126,Mock Connection - adcolony.com,2.0,Firefox OS,Japan,2020-05-01,2760,0,0
connection 127,Mock Connection - inmobi.com,Tetris,Firefox OS,Denmark,2020-05-01,2333,15,6
connection 128,Mock Connection - chartboost.com,Judy Tetris,Firefox OS,United States,2020-05-01,401,1,4
connection 129,Mock Connection - facebook.com,Snake,iOS,Canada,2020-05-01,2139,3,1
connection 130,Mock Connection - vungle.com,Pong,iOS,Denmark,2020-05-01,4174,24,5
connection 131,Mock Connection - flurry.com,Pong,Firefox OS,United States,2020-05-01,2659,5,2
connection 132,Mock Connection - adcolony.com,Pong,Android,Germany,2020-05-01,1390,1,1
connection 133,Mock Connection - mopub.com,Tetris,Android,United States,2020-05-01,3543,9,2
connection 134,Mock Connection - chartboost.com,Tetris,iOS,Japan,2020-05-01,2892,13,4
connection 135,Mock Connection - flurry.com,Tetris,iOS,Denmark,2020-05-01,1574,1,0
connection 136,Mock Connection - chartboost.com,Pong,iOS,United States,2020-05-01,1948,9,4
connection 137,Mock Connection - facebook.com,Tetris,Android,Canada,2020-05-01,541,1,2
connection 138,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Germany,2020-05-01,745,4,5
connection 139,Mock Connection - chartboost.com,Tetris,Firefox OS,Canada,2020-05-01,2540,12,4
connection 140,Mock Connection - mopub.com,Masako Tetris,Firefox OS,United States,2020-05-01,977,7,7
connection 141,Mock Connection - applovin.com,Snake,iOS,United States,2020-05-01,182,0,0
connection 142,Mock Connection - mopub.com,Snake,Android,Brazil,2020-05-01,1764,3,2
connection 143,Mock Connection - flurry.com,Snake,iOS,Denmark,2020-05-01,865,26,31
connection 144,Mock Connection - chartboost.com,Tetris,Android,Brazil,2020-05-01,399,7,17
connection 145,Mock Connection - flurry.com,Snake,Android,Denmark,2020-05-01,883,15,17
connection 146,Mock Connection - mopub.com,Snake,iOS,Germany,2020-05-01,5343,26,4
connection 147,Mock Connection - adcolony.com,Pong,Firefox OS,Brazil,2020-05-01,868,3,4
connection 148,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,United States,2020-05-01,99,5,54
connection 149,Mock Connection - adcolony.com,Tetris,Android,Japan,2020-05-01,580,0,0
connection 150,Mock Connection - adcolony.com,Luciano Tetris,Android,United States,2020-05-01,881,15,17
connection 151,Mock Connection - chartboost.com,Tetris,Android,Japan,2020-05-01,1690,12,7
connection 152,Mock Connection - flurry.com,Tetris,Android,United States,2020-05-01,2395,29,12
connection 153,Mock Connection - chartboost.com,Tetris,Android,Germany,2020-05-01,1551,12,7
connection 154,Mock Connection - chartboost.com,Tetris,iOS,Canada,2020-05-01,3134,3,1
connection 155,Mock Connection - facebook.com,Tetris,Firefox OS,United States,2020-05-01,204,0,4
connection 156,Mock Connection - chartboost.com,Judy Tetris,Android,Germany,2020-05-01,916,28,31
connection 157,Mock Connection - flurry.com,Pong,Android,Germany,2020-05-01,4872,29,6
connection 158,Mock Connection - vungle.com,Monte Tetris,Monte iOS,United States,2020-05-01,1576,4,2
connection 159,Mock Connection - chartboost.com,Pong,Android,Brazil,2020-05-01,1355,8,6
connection 160,Mock Connection - adcolony.com,2.0,Luciano iOS,Brazil,2020-05-01,99,0,0
connection 161,Mock Connection - chartboost.com,Snake,iOS,Brazil,2020-05-01,1852,20,11
connection 162,Mock Connection - applovin.com,Pong,Firefox OS,Canada,2020-05-01,2098,9,4
connection 163,Mock Connection - vungle.com,Pong,Firefox OS,Germany,2020-05-01,2525,12,5
connection 164,Mock Connection - inmobi.com,Snake,Android,Germany,2020-05-01,5965,20,3
connection 165,Mock Connection - chartboost.com,Judy Tetris,Judy iOS,Denmark,2020-05-01,123,0,5
connection 166,Mock Connection - inmobi.com,Tetris,Firefox OS,Japan,2020-05-01,3872,7,1
connection 167,Mock Connection - inmobi.com,Pong,Firefox OS,Canada,2020-05-01,6012,30,4
connection 168,Mock Connection - vungle.com,Tetris,iOS,Japan,2020-05-01,2037,5,2
connection 169,Mock Connection - chartboost.com,Judy Tetris,Android,Brazil,2020-05-01,108,2,25
connection 170,Mock Connection - mopub.com,Snake,Android,Japan,2020-05-01,1994,24,12
connection 171,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Canada,2020-05-01,3382,9,2
connection 172,Mock Connection - adcolony.com,Tetris,Android,Canada,2020-05-01,1560,2,1
connection 173,Mock Connection - adcolony.com,2.0,Luciano iOS,Germany,2020-05-01,887,3,4
connection 174,Mock Connection - vungle.com,Tetris,Firefox OS,Brazil,2020-05-01,1691,4,2
connection 175,Mock Connection - chartboost.com,Snake,Firefox OS,Canada,2020-05-01,5772,21,3
connection 176,Mock Connection - chartboost.com,Snake,iOS,Canada,2020-05-01,1393,16,11
connection 177,Mock Connection - facebook.com,Pong,iOS,Denmark,2020-05-01,2645,17,6
connection 178,Mock Connection - inmobi.com,Randy,Firefox OS,Germany,2020-05-01,604,4,7
connection 179,Mock Connection - inmobi.com,Snake,Android,Canada,2020-05-01,4340,42,9
connection 180,Mock Connection - facebook.com,Pong,Android,Japan,2020-05-01,3011,21,6
connection 181,Mock Connection - facebook.com,Tetris,iOS,Denmark,2020-05-01,2844,15,5
connection 182,Mock Connection - mopub.com,Pong,Firefox OS,Germany,2020-05-01,1256,11,9
connection 183,Mock Connection - flurry.com,Tetris,iOS,Japan,2020-05-01,4288,11,2
connection 184,Mock Connection - inmobi.com,Tetris,Android,Brazil,2020-05-01,2027,8,4
connection 185,Mock Connection - applovin.com,Snake,iOS,Japan,2020-05-01,2551,13,5
connection 186,Mock Connection - vungle.com,Tetris,Android,Canada,2020-05-01,1154,6,5
connection 187,Mock Connection - flurry.com,Tetris,Android,Germany,2020-05-01,8793,51,5
connection 188,Mock Connection - vungle.com,Snake,Firefox OS,United States,2020-05-01,2022,22,11
connection 189,Mock Connection - applovin.com,Pong,Android,Denmark,2020-05-01,2342,31,13
connection 190,Mock Connection - inmobi.com,Randy,GP,Canada,2020-05-01,1387,3,2
connection 191,Mock Connection - flurry.com,Snake,iOS,Brazil,2020-05-01,2505,20,8
connection 192,Mock Connection - vungle.com,Pong,Monte iOS,Germany,2020-05-01,925,15,16
connection 193,Mock Connection - facebook.com,Snake,Firefox OS,Japan,2020-05-01,1877,4,2
connection 194,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Denmark,2020-05-01,1104,3,2
connection 195,Mock Connection - facebook.com,Michael Tetris,Firefox OS,Germany,2020-05-01,2100,25,12
connection 196,Mock Connection - chartboost.com,Judy Tetris,Judy iOS,Canada,2020-05-01,1056,6,6
connection 197,Mock Connection - vungle.com,Snake,iOS,Germany,2020-05-01,3812,25,6
connection 198,Mock Connection - mopub.com,Pong,Firefox OS,Denmark,2020-05-01,1283,11,8
connection 199,Mock Connection - applovin.com,Snake,iOS,Germany,2020-05-01,598,2,4
connection 200,Mock Connection - inmobi.com,Randy,GP,United States,2020-05-01,2894,1,0
connection 201,Mock Connection - chartboost.com,Snake,iOS,Denmark,2020-05-01,8053,8,1
connection 202,Mock Connection - mopub.com,Pong,Firefox OS,United States,2020-05-01,3159,10,3
connection 203,Mock Connection - vungle.com,Pong,Android,Japan,2020-05-01,5002,29,5
connection 204,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Germany,2020-05-01,1532,6,4
connection 205,Mock Connection - facebook.com,Michael Tetris,Android,Canada,2020-05-01,4260,11,2
connection 206,Mock Connection - facebook.com,Michael Tetris,Android,Denmark,2020-05-01,1868,6,3
connection 207,Mock Connection - flurry.com,Snake,Firefox OS,Japan,2020-05-01,1366,14,10
connection 208,Mock Connection - adcolony.com,2.0,Android,Germany,2020-05-01,2975,18,6
connection 209,Mock Connection - vungle.com,Pong,Android,Canada,2020-05-01,1318,17,13
connection 210,Mock Connection - adcolony.com,Pong,Firefox OS,Japan,2020-05-01,1066,14,13
connection 211,Mock Connection - facebook.com,Tetris,iOS,Japan,2020-05-01,1655,12,7
connection 212,Mock Connection - flurry.com,Tetris,Others,United States,2020-05-01,344,10,29
connection 213,Mock Connection - vungle.com,Pong,Monte iOS,United States,2020-05-01,3837,6,1
connection 214,Mock Connection - vungle.com,Pong,Android,Denmark,2020-05-01,2923,16,5
connection 215,Mock Connection - adcolony.com,Pong,Luciano iOS,Brazil,2020-05-01,576,3,5
connection 216,Mock Connection - chartboost.com,Snake,Android,Denmark,2020-05-01,3625,18,5
connection 217,Mock Connection - vungle.com,Snake,Android,Canada,2020-05-01,11763,72,6
connection 218,Mock Connection - flurry.com,Snake,iOS,Canada,2020-05-01,2182,35,16
connection 219,Mock Connection - mopub.com,Pong,iOS,Brazil,2020-05-01,1517,5,3
connection 220,Mock Connection - adcolony.com,Luciano Tetris,Android,Canada,2020-05-01,509,1,1
connection 221,Mock Connection - vungle.com,Snake,Firefox OS,Brazil,2020-05-01,1542,5,3
connection 222,Mock Connection - applovin.com,Snake,Android,Denmark,2020-05-01,5107,26,5
connection 223,Mock Connection - mopub.com,Pong,Android,Japan,2020-05-01,6150,12,2
connection 224,Mock Connection - inmobi.com,Snake,iOS,Canada,2020-05-01,8853,24,2
connection 225,Mock Connection - applovin.com,Pong,Firefox OS,Denmark,2020-05-01,2825,8,2
connection 226,Mock Connection - facebook.com,Tetris,Firefox OS,Brazil,2020-05-01,785,1,1
connection 227,Mock Connection - inmobi.com,Randy,Firefox OS,Denmark,2020-05-01,1555,12,8
connection 228,Mock Connection - chartboost.com,Judy Tetris,Android,Denmark,2020-05-01,3196,7,2
connection 229,Mock Connection - flurry.com,Tetris,iOS,Brazil,2020-05-01,890,1,1
connection 230,Mock Connection - vungle.com,Pong,iOS,United States,2020-05-01,2641,4,1
connection 231,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Denmark,2020-05-01,1708,3,2
connection 232,Mock Connection - inmobi.com,Tetris,Android,Japan,2020-05-01,4589,5,1
connection 233,Mock Connection - vungle.com,Snake,iOS,Denmark,2020-05-01,1370,11,8
connection 234,Mock Connection - inmobi.com,Pong,Android,Denmark,2020-05-01,1378,11,8
connection 235,Mock Connection - applovin.com,Pong,Android,United States,2020-05-01,4110,17,4
connection 236,Mock Connection - adcolony.com,Luciano Tetris,Android,Denmark,2020-05-01,2974,7,2
connection 237,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,Canada,2020-05-01,1884,1,1
connection 238,Mock Connection - chartboost.com,Tetris,Android,Canada,2020-05-01,204,9,48
connection 239,Mock Connection - facebook.com,Michael Tetris,Firefox OS,Japan,2020-05-01,906,4,5
connection 240,Mock Connection - facebook.com,Michael Tetris,Michael iOS,Canada,2020-05-01,160,2,16
connection 241,Mock Connection - mopub.com,Pong,iOS,Germany,2020-05-01,3582,20,5
connection 242,Mock Connection - chartboost.com,Pong,Android,United States,2020-05-01,3817,27,7
connection 243,Mock Connection - mopub.com,Pong,Firefox OS,Japan,2020-05-01,1918,1,0
connection 244,Mock Connection - adcolony.com,Luciano Tetris,Firefox OS,Germany,2020-05-01,938,7,7
connection 245,Mock Connection - adcolony.com,2.0,Luciano iOS,Japan,2020-05-01,891,1,1
connection 246,Mock Connection - chartboost.com,Judy Tetris,Android,Canada,2020-05-01,173,9,53
connection 247,Mock Connection - applovin.com,Tetris,iOS,Japan,2020-05-01,3343,13,4
connection 248,Mock Connection - vungle.com,Pong,Android,Brazil,2020-05-01,569,26,46
connection 249,Mock Connection - flurry.com,Snake,iOS,Japan,2020-05-01,1944,23,12
connection 250,Mock Connection - adcolony.com,Luciano Tetris,Luciano iOS,United States,2020-05-01,714,6,8
connection 251,Mock Connection - vungle.com,Monte Tetris,Monte iOS,Japan,2020-05-01,2072,28,13
connection 252,Mock Connection - chartboost.com,Tetris,Android,United States,2020-05-01,1862,6,3
connection 253,Mock Connection - applovin.com,Snake,Android,Germany,2020-05-01,3598,36,10
connection 254,Mock Connection - mopub.com,Tetris,iOS,Denmark,2020-05-01,1372,6,4
connection 255,Mock Connection - vungle.com,Snake,Android,Japan,2020-05-01,2456,17,6
connection 256,Mock Connection - inmobi.com,Pong,iOS,Brazil,2020-05-01,2108,4,2
connection 257,Mock Connection - chartboost.com,Snake,Firefox OS,Germany,2020-05-01,3121,19,6
connection 258,Mock Connection - mopub.com,Pong,Android,United States,2020-05-01,3121,10,3
connection 259,Mock Connection - applovin.com,Pong,iOS,Japan,2020-05-01,4348,15,3
connection 260,Mock Connection - inmobi.com,Randy,Android,Germany,2020-05-01,1165,1,1
connection 261,Mock Connection - facebook.com,Michael Tetris,Android,Japan,2020-05-01,1599,7,4
connection 262,Mock Connection - applovin.com,Tetris,Firefox OS,Denmark,2020-05-01,122,5,41
connection 263,Mock Connection - chartboost.com,Pong,Android,Canada,2020-05-01,910,15,17
connection 264,Mock Connection - inmobi.com,Snake,Android,Denmark,2020-05-01,5549,43,7
connection 265,Mock Connection - adcolony.com,Pong,Luciano iOS,Japan,2020-05-01,1256,9,7
connection 266,Mock Connection - applovin.com,Pong,Firefox OS,Germany,2020-05-01,2441,9,3
connection 267,Mock Connection - mopub.com,Snake,iOS,United States,2020-05-01,4611,13,2
connection 268,Mock Connection - vungle.com,Monte Tetris,Firefox OS,Japan,2020-05-01,621,0,0
connection 269,Mock Connection - facebook.com,Snake,Firefox OS,Germany,2020-05-01,1122,15,14
connection 270,Mock Connection - flurry.com,Pong,iOS,Germany,2020-05-01,3614,25,6
connection 271,Mock Connection - vungle.com,Tetris,Firefox OS,United States,2020-05-01,2596,10,4
connection 272,Mock Connection - vungle.com,Pong,Firefox OS,United States,2020-05-01,3362,14,4
connection 273,Mock Connection - flurry.com,Snake,Android,Japan,2020-05-01,2802,18,6
connection 274,Mock Connection - mopub.com,Snake,Android,Canada,2020-05-01,2234,5,2
connection 275,Mock Connection - vungle.com,Tetris,Android,United States,2020-05-01,1609,17,10
connection 276,Mock Connection - inmobi.com,Tetris,Android,Denmark,2020-05-01,4052,13,3
connection 277,Mock Connection - inmobi.com,Snake,iOS,United States,2020-05-01,7390,48,6
connection 278,Mock Connection - chartboost.com,Pong,Firefox OS,Denmark,2020-05-01,1296,2,1
connection 279,Mock Connection - vungle.com,Tetris,Monte iOS,Germany,2020-05-01,222,0,3
connection 280,Mock Connection - flurry.com,Snake,Firefox OS,Canada,2020-05-01,4473,14,3
connection 281,Mock Connection - applovin.com,Pong,iOS,United States,2020-05-01,4322,16,3
connection 282,Mock Connection - vungle.com,Tetris,Monte iOS,Brazil,2020-05-01,261,2,7
connection 283,Mock Connection - applovin.com,Snake,Android,Japan,2020-05-01,3097,21,6
connection 284,Mock Connection - chartboost.com,Snake,iOS,Japan,2020-05-01,3133,15,4
connection 285,Mock Connection - chartboost.com,Pong,iOS,Brazil,2020-05-01,2305,19,8
connection 286,Mock Connection - inmobi.com,Pong,Android,Brazil,2020-05-01,4541,28,6
connection 287,Mock Connection - vungle.com,Tetris,Firefox OS,Canada,2020-05-01,3199,23,7
connection 288,Mock Connection - adcolony.com,Pong,Android,Canada,2020-05-01,416,3,7
connection 289,Mock Connection - chartboost.com,Snake,Android,Canada,2020-05-01,4542,23,5
connection 290,Mock Connection - chartboost.com,Pong,Firefox OS,Canada,2020-05-01,1459,12,8
connection 291,Mock Connection - adcolony.com,Pong,Firefox OS,United States,2020-05-01,1854,15,8
connection 292,Mock Connection - adcolony.com,2.0,Firefox OS,Canada,2020-05-01,1922,4,2
connection 293,Mock Connection - inmobi.com,Randy,GP,Japan,2020-05-01,1736,23,13
connection 294,Mock Connection - inmobi.com,Pong,Android,Japan,2020-05-01,4741,11,2
connection 295,Mock Connection - mopub.com,Tetris,Firefox OS,Japan,2020-05-01,2421,25,10
connection 296,Mock Connection - vungle.com,Pong,Monte iOS,Japan,2020-05-01,5995,18,3
connection 297,Mock Connection - chartboost.com,Pong,Android,Germany,2020-05-01,1697,16,9
connection 298,Mock Connection - chartboost.com,Tetris,Android,Denmark,2020-05-01,2893,21,7
connection 299,Mock Connection - applovin.com,Pong,iOS,Germany,2020-05-01,95,3,33
connection 300,Mock Connection - inmobi.com,Randy,GP,Germany,2020-05-01,118,0,7
connection 301,Mock Connection - facebook.com,Tetris,Firefox OS,Canada,2020-05-01,2505,25,10
